time,temperature_2m,windspeed_10m
2020-08-31,15.086666666666666,12.055972222222222
2020-09-07,15.696011904761903,13.736130952380952
2020-09-14,15.897142857142857,9.828214285714287
2020-09-21,14.293630952380951,10.337440476190476
2020-09-28,13.913392857142856,13.442738095238095
2020-10-05,11.23607142857143,16.19345238095238
2020-10-12,8.940238095238096,12.087142857142858
2020-10-19,12.27488095238095,16.638392857142858
2020-10-26,11.355059523809524,17.140595238095237
2020-11-02,10.15672619047619,15.110595238095238
2020-11-09,8.375,12.604940476190476
2020-11-16,8.701666666666668,20.05053571428571
2020-11-23,5.159821428571429,11.36797619047619
2020-11-30,2.463154761904762,12.210238095238097
2020-12-07,3.09922619047619,11.18875
2020-12-14,6.954880952380953,14.083214285714286
2020-12-21,4.1779166666666665,16.615952380952383
2020-12-28,2.7670833333333333,13.815654761904764
2021-01-04,1.2904761904761906,13.393392857142858
2021-01-11,0.8496428571428571,15.623095238095237
2021-01-18,4.187916666666667,17.92940476190476
2021-01-25,-0.642797619047619,11.007380952380952
2021-02-01,-1.2554761904761904,16.738809523809522
2021-02-08,-5.651071428571429,12.859166666666667
2021-02-15,5.00547619047619,14.3475
2021-02-22,8.303749999999999,12.533392857142857
2021-03-01,2.9635714285714285,10.604880952380952
2021-03-08,4.206666666666667,18.859940476190474
2021-03-15,3.1087499999999997,13.835
2021-03-22,7.082916666666667,13.631190476190476
2021-03-29,8.633511904761905,13.191845238095238
2021-04-05,4.237857142857143,18.545178571428572
2021-04-12,5.323571428571428,12.199761904761905
2021-04-19,7.410833333333334,13.432440476190477
2021-04-26,7.7803571428571425,9.802559523809524
2021-05-03,8.672023809523811,19.37964285714286
2021-05-10,11.920416666666666,11.233154761904762
2021-05-17,11.074464285714285,13.309285714285714
2021-05-24,11.674523809523809,13.612440476190475
2021-05-31,17.600059523809524,9.734761904761905
2021-06-07,17.487261904761905,10.178988095238095
2021-06-14,21.4025,10.336845238095238
2021-06-21,16.796964285714285,8.359880952380953
2021-06-28,18.926488095238096,8.71654761904762
2021-07-05,18.981785714285714,10.419107142857143
2021-07-12,20.984583333333333,11.10875
2021-07-19,18.155952380952378,9.901071428571427
2021-07-26,18.852440476190477,15.190297619047618
2021-08-02,17.04035714285714,11.241011904761905
2021-08-09,18.069940476190474,12.134345238095237
2021-08-16,16.29827380952381,15.520000000000001
2021-08-23,15.736011904761906,13.684940476190476
2021-08-30,15.796904761904763,10.238869047619048
2021-09-06,17.69815476190476,8.516130952380953
2021-09-13,15.6575,11.804464285714285
2021-09-20,15.071071428571429,13.76470238095238
2021-09-27,14.61220238095238,16.736190476190476
2021-10-04,11.28077380952381,10.69732142857143
2021-10-11,10.230119047619048,14.11863095238095
2021-10-18,10.822202380952382,18.733214285714286
2021-10-25,11.368333333333334,15.526071428571429
2021-11-01,8.64857142857143,15.132916666666667
2021-11-08,8.142857142857142,11.228988095238096
2021-11-15,8.018809523809525,15.67642857142857
2021-11-22,4.376607142857143,11.926011904761904
2021-11-29,2.8555952380952383,17.948511904761904
2021-12-06,1.750357142857143,13.652142857142858
2021-12-13,7.717380952380952,13.903035714285714
2021-12-20,-2.134702380952381,10.066904761904762
2021-12-27,6.374940476190476,17.582440476190477
2022-01-03,3.258988095238095,17.56827380952381
2022-01-10,3.8160714285714286,11.684821428571428
2022-01-17,4.316547619047618,17.32202380952381
2022-01-24,4.962023809523809,21.69672619047619
2022-01-31,4.575178571428571,18.470238095238095
2022-02-07,4.6501785714285715,18.12625
2022-02-14,6.397559523809524,26.989642857142858
2022-02-21,4.747559523809524,20.37797619047619
2022-02-28,1.7079761904761905,9.582380952380952
2022-03-07,3.6475595238095235,13.75934523809524
2022-03-14,5.824345238095238,12.890892857142857
2022-03-21,8.19672619047619,9.112142857142857
2022-03-28,3.6708333333333334,14.87922619047619
2022-04-04,5.69125,22.551607142857144
2022-04-11,8.944940476190476,11.461547619047618
2022-04-18,9.500357142857142,14.307261904761905
2022-04-25,9.088333333333333,8.872559523809523
2022-05-02,10.775,8.38452380952381
2022-05-09,14.360654761904764,13.322559523809524
2022-05-16,16.73720238095238,12.771964285714287
2022-05-23,13.558809523809524,19.088511904761905
2022-05-30,13.265654761904763,9.931369047619048
2022-06-06,16.643809523809523,12.92422619047619
2022-06-13,16.173630952380954,10.934285714285714
